feature,category,woe,coefficient,iv,points
p_days_since_last_pay_cnt,"[0.50, 1.50)",0.9532209060626875,-0.05125035868554387,0.06331471548295298,43
p_days_since_last_pay_cnt,"[1.50, 2.50)",0.7273783328050132,-0.05125035868554387,0.04102678029496238,42
p_days_since_last_pay_cnt,"[2.50, 3.50)",0.417148205763477,-0.05125035868554387,0.015088539304333156,41
p_days_since_last_pay_cnt,"[3.50, 4.50)",0.11853859653501786,-0.05125035868554387,0.0013181856768771786,40
p_days_since_last_pay_cnt,Special,0.0,-0.05125035868554387,0.0,40
p_days_since_last_pay_cnt,Missing,0.0,-0.05125035868554387,0.0,40
p_days_since_last_pay_cnt,"[4.50, 5.50)",-0.06833069721178031,-0.05125035868554387,0.0005159057813886096,39
p_days_since_last_pay_cnt,"[5.50, 6.50)",-0.2578830718321754,-0.05125035868554387,0.005636434695684315,39
p_days_since_last_pay_cnt,"[6.50, 7.50)",-0.3349460175770491,-0.05125035868554387,0.00832272574358619,38
p_days_since_last_pay_cnt,"[7.50, 11.50)",-0.42427791699152184,-0.05125035868554387,0.034721894974661056,38
p_days_since_last_pay_cnt,"[11.50, inf)",-0.44546594964943154,-0.05125035868554387,0.03179051125334724,38
p_nsf_12m_cnt,0,0.22732081808019344,-0.05527104639207586,0.04019728380288346,41
p_nsf_12m_cnt,1,-0.7757875756014916,-0.05527104639207586,0.09876320765920134,37
p_nsf_12m_cnt,2,-1.1413224418108763,-0.05527104639207586,0.04573554267218955,35
p_nsf_12m_cnt,3,-1.3814226022953422,-0.05527104639207586,0.010702541316234018,34
p_nsf_12m_cnt,4+,-1.776117761497606,-0.05527104639207586,0.0030260030354083193,33
p_ontime_pay_12m_cnt,"[11.50, inf)",1.283626667118598,-0.05714834411123295,0.2689793963091004,45
p_ontime_pay_12m_cnt,"[10.50, 11.50)",0.5000720473437665,-0.05714834411123295,0.04420943972536566,42
p_ontime_pay_12m_cnt,"[9.50, 10.50)",0.013723173145526513,-0.05714834411123295,3.518897031555063e-05,40
p_ontime_pay_12m_cnt,Special,0.0,-0.05714834411123295,0.0,40
p_ontime_pay_12m_cnt,Missing,0.0,-0.05714834411123295,0.0,40
p_ontime_pay_12m_cnt,"[8.50, 9.50)",-0.3295369244232935,-0.05714834411123295,0.01760753952535657,38
p_ontime_pay_12m_cnt,"[7.50, 8.50)",-0.673860185009088,-0.05714834411123295,0.05550558813494015,37
p_ontime_pay_12m_cnt,"(-inf, 7.50)",-1.1635060148296756,-0.05714834411123295,0.19164809174398922,35
p_pay_ratio,"[1.09, inf)",2.1184804393591965,-0.2169898589406873,0.11720064002809447,73
p_pay_ratio,"[1.00, 1.09)",1.6688704257346951,-0.2169898589406873,0.08181843319978223,66
p_pay_ratio,"[0.93, 1.00)",1.3623163763177764,-0.2169898589406873,0.06640488808006549,61
p_pay_ratio,"[0.89, 0.93)",1.3303018769786168,-0.2169898589406873,0.05032671292001635,60
p_pay_ratio,"[0.85, 0.89)",1.015367829130263,-0.2169898589406873,0.034438648244824226,56
